Date,equity,cash,positions,buy_hold
2017-10-16,100000.0,100000.0,0,156181.2045174548
2017-10-17,100000.0,100000.0,0,155265.27865909922
2017-10-18,100000.0,100000.0,0,156529.90362974754
2017-10-19,100000.0,100000.0,0,156114.79485553087
2017-10-20,100000.0,100000.0,0,156387.17796324118
2017-10-23,100000.0,100000.0,0,156403.38511186675
2017-10-24,100000.0,100000.0,0,157497.91449257167
2017-10-25,100000.0,100000.0,0,154998.69911220443
2017-10-26,100000.0,100000.0,0,155270.67329791788
2017-10-27,100000.0,100000.0,0,158753.84149143737
2017-10-30,100000.0,100000.0,0,160699.168334825
2017-10-31,100000.0,100000.0,0,164872.96506678086
2017-11-01,100000.0,100000.0,0,164099.56665369336
2017-11-02,100000.0,100000.0,0,160961.22956222383
2017-11-03,100000.0,100000.0,0,165715.21102915893
2017-11-06,100000.0,100000.0,0,166831.1669745588
2017-11-07,100000.0,100000.0,0,168110.34994521693
2017-11-08,100000.0,100000.0,0,168452.11785107746
2017-11-09,100000.0,100000.0,0,166009.81623732008
2017-11-10,100000.0,100000.0,0,171022.0170647681
2017-11-13,100000.0,100000.0,0,171865.4317053276
2017-11-14,100000.0,100000.0,0,172555.44300417684
2017-11-15,100000.0,100000.0,0,170811.52468898654
2017-11-16,100000.0,100000.0,0,173949.57650172594
2017-11-17,100000.0,100000.0,0,174206.01074196186
2017-11-20,100000.0,100000.0,0,177960.18587493876
2017-11-21,100000.0,100000.0,0,180315.49359248977
2017-11-22,100000.0,100000.0,0,179209.32133150374
2017-11-24,100000.0,100000.0,0,181543.1356241512
2017-11-27,100000.0,100000.0,0,178051.5993068357
2017-11-28,100000.0,100000.0,0,177390.2693975171
2017-11-29,100000.0,100000.0,0,167318.0667954639
2017-11-30,100000.0,100000.0,0,167412.16986481956
2017-12-01,100000.0,100000.0,0,165085.8055167239
2017-12-04,100000.0,100000.0,0,156406.9625164339
2017-12-05,100000.0,100000.0,0,157941.60126987816
2017-12-06,100000.0,100000.0,0,158905.06895081705
2017-12-07,100000.0,100000.0,0,162462.53825685472
2017-12-08,100000.0,100000.0,0,162556.35065549228
2017-12-11,100000.0,100000.0,0,163430.3625343496
2017-12-12,100000.0,100000.0,0,160359.1834840878
2017-12-13,100000.0,100000.0,0,160951.21166279033
2017-12-14,100000.0,100000.0,0,161317.44992928754
2017-12-15,100000.0,100000.0,0,163946.34426329492
2017-12-18,100000.0,100000.0,0,167277.6096391417
2017-12-19,100000.0,100000.0,0,167148.44064490986
2017-12-20,100000.0,100000.0,0,168858.41392036903
2017-12-21,100000.0,100000.0,0,167285.66642467512
2017-12-22,100000.0,100000.0,0,167211.37805858717
2017-12-26,100000.0,100000.0,0,165130.13123640875
2017-12-27,100000.0,100000.0,0,166104.46177788853
2017-12-28,100000.0,100000.0,0,166123.14585881346
2017-12-29,100000.0,100000.0,0,163361.4005851419
2018-01-02,100000.0,100000.0,0,167731.84527206793
2018-01-03,100000.0,100000.0,0,173342.31015683434
2018-01-04,100000.0,100000.0,0,174800.01743588733
2018-01-05,100000.0,100000.0,0,175471.38250197523
2018-01-08,100000.0,100000.0,0,179326.09345515064
2018-01-09,100000.0,100000.0,0,176256.80320463327
2018-01-10,100000.0,100000.0,0,176524.0629275112
2018-01-11,100000.0,100000.0,0,177590.61193149257
2018-01-12,100000.0,100000.0,0,177118.0314845324
2018-01-16,100000.0,100000.0,0,175893.12764541752
2018-01-17,100000.0,100000.0,0,180621.87701009607
2018-01-18,100000.0,100000.0,0,181674.4797504652
2018-01-19,100000.0,100000.0,0,182578.85719639587
2018-01-22,100000.0,100000.0,0,184814.31225659355
2018-01-23,100000.0,100000.0,0,186602.53240016746
2018-01-24,100000.0,100000.0,0,184156.82426465166
2018-01-25,100000.0,100000.0,0,184008.15504872645
2018-01-26,100000.0,100000.0,0,187983.9740724321
2018-01-29,100000.0,100000.0,0,186892.40356588314
